soc,lmp,a,total_rwd
50.00,756.07,2,0.00e+00
100.00,787.00,2,0.00e+00
150.00,817.67,2,0.00e+00
200.00,847.94,2,0.00e+00
250.00,877.68,2,0.00e+00
300.00,906.77,2,0.00e+00
350.00,935.09,2,0.00e+00
400.00,962.50,2,0.00e+00
400.00,988.90,2,0.00e+00
400.00,1014.16,2,0.00e+00
350.00,1038.19,0,1.45e+04
400.00,1060.88,2,1.45e+04
350.00,1082.12,0,2.97e+04
400.00,1101.84,2,2.97e+04
350.00,1119.95,0,4.54e+04
400.00,1136.36,2,4.54e+04
350.00,1151.01,0,6.14e+04
300.00,1163.84,0,7.65e+04
350.00,1174.79,2,7.65e+04
300.00,1183.81,0,9.14e+04
350.00,1190.87,2,9.14e+04
300.00,1195.94,0,1.06e+05
350.00,1198.98,2,1.06e+05
300.00,1200.00,0,1.19e+05
350.00,1198.98,2,1.19e+05
300.00,1195.94,0,1.27e+05
350.00,1190.87,2,1.27e+05
300.00,1183.81,0,1.32e+05
350.00,1174.79,2,1.32e+05
300.00,1163.84,0,1.35e+05
300.00,1151.01,1,1.35e+05
300.00,1136.36,1,1.35e+05
300.00,1119.95,1,1.35e+05
300.00,1101.84,1,1.35e+05
300.00,1082.12,1,1.35e+05
300.00,1060.88,1,1.35e+05
300.00,1038.19,1,1.35e+05
300.00,1014.16,1,1.35e+05
300.00,988.90,1,1.35e+05
300.00,962.50,1,1.35e+05
300.00,935.09,1,1.35e+05
300.00,906.77,1,1.35e+05
300.00,877.68,1,1.35e+05
300.00,847.94,1,1.35e+05
300.00,817.67,1,1.35e+05
300.00,787.00,1,1.35e+05
300.00,756.07,1,1.35e+05
300.00,725.00,1,1.35e+05
350.00,693.93,2,1.35e+05
350.00,663.00,1,1.35e+05
350.00,632.33,1,1.35e+05
400.00,602.06,2,1.35e+05
400.00,572.32,1,1.35e+05
400.00,543.23,1,1.35e+05
400.00,514.91,1,1.35e+05
400.00,487.50,1,1.35e+05
400.00,461.10,1,1.35e+05
400.00,435.84,1,1.35e+05
400.00,411.81,1,1.35e+05
400.00,389.12,2,1.35e+05
400.00,367.88,2,1.35e+05
400.00,348.16,2,1.35e+05
400.00,330.05,2,1.35e+05
400.00,313.64,2,1.35e+05
400.00,298.99,2,1.35e+05
400.00,286.16,2,1.35e+05
400.00,275.21,2,1.35e+05
400.00,266.19,2,1.35e+05
400.00,259.13,2,1.35e+05
400.00,254.06,2,1.35e+05
400.00,251.02,2,1.35e+05
400.00,250.00,2,1.35e+05
400.00,251.02,2,1.35e+05
400.00,254.06,2,1.35e+05
400.00,259.13,2,1.35e+05
400.00,266.19,2,1.35e+05
400.00,275.21,2,1.35e+05
400.00,286.16,2,1.35e+05
400.00,298.99,2,1.35e+05
400.00,313.64,2,1.35e+05
400.00,330.05,2,1.35e+05
400.00,348.16,2,1.35e+05
400.00,367.88,2,1.35e+05
400.00,389.12,2,1.35e+05
400.00,411.81,2,1.35e+05
400.00,435.84,1,1.35e+05
400.00,461.10,1,1.35e+05
400.00,487.50,1,1.35e+05
400.00,514.91,1,1.35e+05
400.00,543.23,1,1.35e+05
400.00,572.32,1,1.35e+05
400.00,602.06,1,1.35e+05
400.00,632.33,1,1.35e+05
400.00,663.00,1,1.35e+05
400.00,693.93,1,1.35e+05
400.00,725.00,1,1.35e+05
400.00,756.07,1,1.35e+05
400.00,787.00,1,1.35e+05
400.00,817.67,1,1.35e+05
400.00,847.94,1,1.35e+05
400.00,877.68,1,1.35e+05
400.00,906.77,1,1.35e+05
400.00,935.09,1,1.35e+05
400.00,962.50,1,1.35e+05
400.00,988.90,2,1.35e+05
400.00,1014.16,2,1.35e+05
400.00,1038.19,2,1.35e+05
400.00,1060.88,2,1.35e+05
400.00,1082.12,2,1.35e+05
400.00,1101.84,2,1.35e+05
400.00,1119.95,2,1.35e+05
400.00,1136.36,2,1.35e+05
350.00,1151.01,0,1.34e+05
400.00,1163.84,2,1.34e+05
350.00,1174.79,0,1.33e+05
400.00,1183.81,2,1.33e+05
350.00,1190.87,0,1.32e+05
400.00,1195.94,2,1.32e+05
350.00,1198.98,0,1.32e+05
400.00,1200.00,2,1.32e+05
350.00,1198.98,0,1.32e+05
400.00,1195.94,2,1.32e+05
350.00,1190.87,0,1.33e+05
300.00,1183.81,0,1.56e+05
350.00,1174.79,2,1.56e+05
300.00,1163.84,0,1.83e+05
250.00,1151.01,0,1.84e+05
250.00,1136.36,1,1.84e+05
250.00,1119.95,1,1.84e+05
250.00,1101.84,1,1.84e+05
250.00,1082.12,1,1.84e+05
250.00,1060.88,1,1.84e+05
250.00,1038.19,1,1.84e+05
250.00,1014.16,1,1.84e+05
250.00,988.90,1,1.84e+05
250.00,962.50,1,1.84e+05
250.00,935.09,1,1.84e+05
300.00,906.77,2,1.84e+05
300.00,877.68,1,1.84e+05
300.00,847.94,1,1.84e+05
300.00,817.67,1,1.84e+05
300.00,787.00,1,1.84e+05
300.00,756.07,1,1.84e+05
300.00,725.00,1,1.84e+05
350.00,693.93,2,1.84e+05
350.00,663.00,1,1.84e+05
400.00,632.33,2,1.84e+05
400.00,602.06,1,1.84e+05
400.00,572.32,1,1.84e+05
400.00,543.23,1,1.84e+05
400.00,514.91,1,1.84e+05
400.00,487.50,1,1.84e+05
400.00,461.10,1,1.84e+05
