solar_reward,grid_battery_reward,solar_battery_reward,soc,soc_grid,soc_solar,curr_lmp,net_load,a,total_rwd
2.09,0.00,0.00,0.00,0.00,0.00,41.70,0.10,1,2.09e+00
2.02,0.00,0.00,0.00,0.00,0.00,40.37,0.10,1,4.11e+00
1.95,0.00,0.00,0.00,0.00,0.00,39.25,0.10,1,6.06e+00
0.00,-979.35,0.00,23.25,23.20,0.05,42.59,-24.95,2,-9.73e+02
2.06,0.00,0.00,23.25,23.20,0.05,42.58,0.10,1,-9.71e+02
2.06,0.00,0.00,23.25,23.20,0.05,42.34,0.10,1,-9.69e+02
2.05,0.00,0.00,23.25,23.20,0.05,41.36,0.10,1,-9.67e+02
2.00,0.00,0.00,23.25,23.20,0.05,42.38,0.10,1,-9.65e+02
2.06,0.00,0.00,23.25,23.20,0.05,42.40,0.10,1,-9.63e+02
2.06,0.00,0.00,23.25,23.20,0.05,42.32,0.10,1,-9.61e+02
2.05,0.00,0.00,23.25,23.20,0.05,41.32,0.10,1,-9.59e+02
2.01,0.00,0.00,23.25,23.20,0.05,41.43,0.10,1,-9.57e+02
2.01,0.00,0.00,23.25,23.20,0.05,41.66,0.10,1,-9.55e+02
2.02,0.00,0.00,23.25,23.20,0.05,42.18,0.10,1,-9.53e+02
2.05,0.00,0.00,23.25,23.20,0.05,42.74,0.10,1,-9.51e+02
2.08,0.00,0.00,23.25,23.20,0.05,43.03,0.10,1,-9.49e+02
0.32,0.00,0.00,23.25,23.20,0.05,44.30,0.01,1,-9.48e+02
0.33,0.00,0.00,23.25,23.20,0.05,47.42,0.01,1,-9.48e+02
0.35,1023.35,1.99,0.00,0.00,0.00,53.69,21.64,0,7.76e+01
0.40,0.00,0.00,0.00,0.00,0.00,50.70,0.01,0,7.80e+01
5.19,0.00,0.00,0.00,0.00,0.00,53.35,0.20,1,8.32e+01
5.46,0.00,0.00,0.00,0.00,0.00,50.86,0.20,1,8.86e+01
5.21,0.00,0.00,0.00,0.00,0.00,45.30,0.20,1,9.38e+01
4.64,0.00,0.00,0.00,0.00,0.00,42.46,0.20,1,9.85e+01
0.00,-961.09,0.00,23.25,21.05,2.20,43.00,-22.64,2,-8.63e+02
0.00,-973.31,0.00,46.50,42.10,4.40,41.43,-22.64,2,-1.84e+03
0.00,-937.78,0.00,69.75,63.15,6.60,41.03,-22.64,2,-2.77e+03
0.00,-928.72,0.00,93.00,84.20,8.80,39.80,-22.64,2,-3.70e+03
0.00,-799.95,0.00,116.25,102.90,13.35,80.20,-20.10,2,-4.50e+03
393.04,0.00,0.00,116.25,102.90,13.35,48.26,9.80,1,-4.11e+03
0.00,-969.99,0.00,139.50,121.59,17.91,80.17,-20.10,2,-5.08e+03
392.90,0.00,0.00,139.50,121.59,17.91,42.71,9.80,1,-4.69e+03
231.03,0.00,0.00,139.50,121.59,17.91,43.47,10.82,1,-4.46e+03
