solar_reward,grid_battery_reward,solar_battery_reward,soc,soc_grid,soc_solar,curr_lmp,net_load,a,total_rwd
0.00,-1075.41,0.00,23.25,23.20,0.05,41.70,-24.95,2,-1.08e+03
0.00,-1040.48,0.00,46.50,46.41,0.09,40.37,-24.95,2,-2.12e+03
0.00,-1007.30,0.00,69.75,69.61,0.14,39.25,-24.95,2,-3.12e+03
0.00,-979.35,0.00,93.00,92.82,0.18,42.59,-24.95,2,-4.10e+03
0.00,-1062.69,0.00,116.25,116.02,0.23,42.58,-24.95,2,-5.17e+03
0.00,-1062.44,0.00,139.50,139.23,0.27,42.34,-24.95,2,-6.23e+03
0.00,-1056.45,0.00,162.75,162.43,0.32,41.36,-24.95,2,-7.28e+03
0.00,-1032.00,0.00,186.00,185.64,0.36,42.38,-24.95,2,-8.32e+03
0.00,-1057.44,0.00,209.25,208.84,0.41,42.40,-24.95,2,-9.37e+03
0.00,-1057.94,0.00,232.50,232.05,0.45,42.32,-24.95,2,-1.04e+04
0.00,-1055.95,0.00,255.75,255.25,0.50,41.32,-24.95,2,-1.15e+04
0.00,-1030.99,0.00,279.00,278.46,0.54,41.43,-24.95,2,-1.25e+04
0.00,-1033.74,0.00,302.25,301.66,0.59,41.66,-24.95,2,-1.36e+04
0.00,-1039.48,0.00,325.50,324.87,0.63,42.18,-24.95,2,-1.46e+04
0.00,-1052.45,0.00,348.75,348.07,0.68,42.74,-24.95,2,-1.56e+04
0.00,-1066.42,0.00,372.00,371.28,0.72,43.03,-24.95,2,-1.67e+04
0.00,-1075.43,0.00,394.86,394.13,0.73,44.30,-24.99,2,-1.78e+04
0.00,-245.48,0.00,399.61,398.88,0.74,47.42,-5.54,2,-1.80e+04
0.00,-37.80,0.00,399.94,399.20,0.74,53.69,-0.80,2,-1.81e+04
0.00,-24.99,0.00,399.97,399.22,0.75,50.70,-0.47,2,-1.81e+04
0.00,-17.61,0.00,399.97,399.12,0.84,53.35,-0.35,2,-1.81e+04
0.00,-18.44,0.00,399.97,399.12,0.85,50.86,-0.35,2,-1.81e+04
0.00,-17.58,0.00,399.97,399.12,0.85,45.30,-0.35,2,-1.81e+04
0.00,-15.65,0.00,399.97,399.12,0.85,42.46,-0.35,2,-1.82e+04
81.39,-0.00,0.00,399.97,398.80,1.17,43.00,1.92,2,-1.81e+04
82.42,-0.00,0.00,399.97,398.80,1.17,41.43,1.92,2,-1.80e+04
