solar_reward,grid_battery_reward,solar_battery_reward,soc,soc_grid,soc_solar,curr_lmp,net_load,a,total_rwd
0.00,-1181.00,0.00,23.25,23.25,0.00,46.90,-25.00,2,-1.18e+03
0.00,-1172.50,0.00,46.50,46.50,0.00,45.95,-25.00,2,-2.35e+03
0.00,-1148.75,0.00,69.75,69.75,0.00,34.77,-25.00,2,-3.50e+03
0.00,-869.25,0.00,93.00,93.00,0.00,46.67,-25.00,2,-4.37e+03
0.00,-1166.75,0.00,116.25,116.25,0.00,46.72,-25.00,2,-5.54e+03
0.00,-1168.00,0.00,139.50,139.50,0.00,46.67,-25.00,2,-6.71e+03
0.00,-1166.75,0.00,162.75,162.75,0.00,35.71,-25.00,2,-7.87e+03
0.00,-892.75,0.00,186.00,186.00,0.00,46.12,-25.00,2,-8.77e+03
0.00,-1153.00,0.00,209.25,209.25,0.00,43.35,-25.00,2,-9.92e+03
0.00,-1083.75,0.00,232.50,232.50,0.00,45.78,-25.00,2,-1.10e+04
0.00,-1144.50,0.00,255.75,255.75,0.00,40.04,-25.00,2,-1.21e+04
0.00,-1001.00,0.00,279.00,279.00,0.00,41.77,-25.00,2,-1.31e+04
0.00,-1044.25,0.00,302.25,302.25,0.00,48.53,-25.00,2,-1.42e+04
0.00,0.00,0.00,302.25,302.25,0.00,52.22,0.00,1,-1.42e+04
0.00,0.00,0.00,302.25,302.25,0.00,53.91,0.00,1,-1.42e+04
0.00,-1347.75,0.00,325.50,325.50,0.00,47.49,-25.00,2,-1.55e+04
0.00,-1187.25,0.00,348.75,348.75,0.00,62.44,-25.00,2,-1.67e+04
0.00,0.00,0.00,348.75,348.75,0.00,72.63,0.00,1,-1.67e+04
0.00,1688.65,0.00,323.75,323.75,0.00,72.42,23.25,0,-1.50e+04
0.00,1683.77,0.00,298.75,298.75,0.00,74.52,23.25,0,-1.34e+04
0.00,1732.59,0.00,273.75,273.75,0.00,75.85,23.25,0,-1.16e+04
0.00,1763.51,0.00,248.75,248.75,0.00,86.11,23.25,0,-9.86e+03
0.00,2002.06,0.00,223.75,223.75,0.00,78.94,23.25,0,-7.86e+03
0.00,1835.36,0.00,198.75,198.75,0.00,83.68,23.25,0,-6.02e+03
